,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,gap gene,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg136731,arg122612,arg136731_arg122612,rr,f5e4fff3a4a9605b12629bf4cac95f,1
1,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,middle,a1,arg122612,arg136732,arg122612_arg136732,rr,3f8c6489c0aa8afc2efe365be73175,-1
2,jacnjnajcsajnc,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg136823,arg122612,arg136823_arg122612,rr,b2dc02b7b0620f746fd7977a3e3e63,1
3,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,Nanos mutants (lack of nanos) results in lack of anterior/abdominal area,a1,arg122612,arg136855,arg122612_arg136855,wr,107029ba7735b07337488b0d3567ad,-1
4,I think,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg136887,arg122612,arg136887_arg122612,rr,ba344396953aab13099bf3b28ca8c2,1
5,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,Kruppel effects the back half of a embryo,a1,arg122612,arg137083,arg122612_arg137083,rr,54b5fd31243de08ea4b8f00b4966e9,-1
6,most likely,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg137143,arg122612,arg137143_arg122612,rr,df6f9c7a7cbb9863c5fa0349af930c,1
7,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,"not bicoid or nanos bc those are for polarity, but one of the ones after (gap or pair rule probably)",a1,arg122612,arg137528,arg122612_arg137528,rr,cb46ddd5247e6998bfafd9754c1f38,-1
8,werp,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg137727,arg122612,arg137727_arg122612,wr,14899b064827f55df8c48614f4274f,1
9,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,Bicoid influences the production of thoracic segments a swell as the polarity of the AP-axis,a1,arg122612,arg137759,arg122612_arg137759,wr,9baea03ee40d1f63677aa4319e60e0,-1
10,gap gene,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg137804,arg122612,arg137804_arg122612,rr,51c8aa81265b76c2eafafaddf7f0f1,1
11,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,If nanos is not correctly expressed then hunchback will not be correctly distributed in the embryo...,a1,arg122612,arg137808,arg122612_arg137808,wr,be4ae640739623ecce5aa492a2e8e1,-1
12,hjbbm,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg137874,arg122612,arg137874_arg122612,rr,1a91f81232778722fa77d9a510dfbe,1
13,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,cant be others,a1,arg122612,arg138025,arg122612_arg138025,rr,5310bc639057f5c2c7aa6316574c07,-1
14,?...,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg138095,arg122612,arg138095_arg122612,wr,6bb07ec8918333ecde1b6697bf38f0,1
15,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,no idea,a1,arg122612,arg138119,arg122612_arg138119,rr,3c51f38cd05bf8261f066dceafb818,-1
16,sdafasdfsdf,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg138407,arg122612,arg138407_arg122612,rr,190ec1ad3c385f00ec7c5e8cd08a2b,1
17,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,sdfghkyrt,a1,arg122612,arg138530,arg122612_arg138530,wr,417272a507f564ef3bfe9e7ea99568,-1
18,activates in middle of organism,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg138789,arg122612,arg138789_arg122612,rr,ff8e434947ba49017eff3d2d477ba7,1
19,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,acts in middle,a1,arg122612,arg138824,arg122612_arg138824,rr,54b602f8b6cbd39d1d6e2ec8f5b893,-1
20,nanos affects the posterior and central parts. (not sure),Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg139371,arg122612,arg139371_arg122612,wr,33fb42fed22cbfeb3e87a4e5087ca8,1
21,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,htvrth,a1,arg122612,arg139421,arg122612_arg139421,rr,9ff916b24a214164ad7838787f7eb5,-1
22,Kruppel makes the middle segment,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg139533,arg122612,arg139533_arg122612,rr,cda79b8cae6a2fb1588e95a27237a0,1
23,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,not sure,a1,arg122612,arg139564,arg122612_arg139564,rr,6464ca7e10e50930d7e11b74d327d0,-1
24,leidosfndsf,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg139607,arg122612,arg139607_arg122612,wr,96ed979478b16ca14f76ec22e59881,1
25,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,It is,a1,arg122612,arg139655,arg122612_arg139655,rr,6a4e7a2d14797ce0d5ae422a590bc5,-1
26,hgkjghkgk,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg139706,arg122612,arg139706_arg122612,rr,0a82d2f36cda00b9f5e97c580752ac,1
27,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,Think so,a1,arg122612,arg139863,arg122612_arg139863,rr,f7eaed632086ca95b65937d14a9065,-1
28,Protein that directs center development.,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg139952,arg122612,arg139952_arg122612,rr,f277e27b0b9f9b9d37fcae54939ac0,1
29,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,Fcjgjcjgvj,a1,arg122612,arg140159,arg122612_arg140159,rr,5d1cbf0f1aa40924e981f88c5d72c5,-1
30,kruppel affects the middle,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg140280,arg122612,arg140280_arg122612,rr,942862d652807b5b213e501cdf5585,1
31,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,stp this,a1,arg122612,arg140331,arg122612_arg140331,wr,49dd81d65e9cae15042d216196f086,-1
32,according to graph,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg140337,arg122612,arg140337_arg122612,rr,d53afd173c3f5093853af6b1ad4d38,1
33,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,Jruppel,a1,arg122612,arg140597,arg122612_arg140597,rr,b1af47bea42455ab322fd44efbd0fb,-1
34,yvjghkb,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg140618,arg122612,arg140618_arg122612,wr,6328c94d6385bd2045bfd557ecca43,1
