,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0, ,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg68796,arg68721,arg68796_arg68721,rr,b2dc02b7b0620f746fd7977a3e3e63,1
1,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,guessing,a1,arg68721,arg69551,arg68721_arg69551,rr,0bb1b73bf390a7f789aa2b784a5f47,-1
2, ,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg70810,arg68721,arg70810_arg68721,rr,dd1b4189a8ac774a3a58a6ffd278d1,1
3,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,I think,a1,arg68721,arg71770,arg68721_arg71770,rr,bdec0e8e8e5c06c514969952e12dc0,-1
4,otherwise u dont get the ratio,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg71922,arg68721,arg71922_arg68721,rr,6fd733ce744be25ce02e000dcdac24,1
5,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,Dihybrid cross,a1,arg68721,arg72120,arg68721_arg72120,rr,f0f2a852594992556acd3f8df9f8c0,-1
6,.,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg72345,arg68721,arg72345_arg68721,rr,cb46ddd5247e6998bfafd9754c1f38,1
7,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,thats just the way it is,a1,arg68721,arg74090,arg68721_arg74090,rr,0afa302600bf72169f66c146a163ce,-1
8,a big pungent square ,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg74231,arg68721,arg74231_arg68721,rr,ff8e434947ba49017eff3d2d477ba7,1
9,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,Yas,a1,arg68721,arg74915,arg68721_arg74915,rr,8b9a35ef268a7af3ffa6e39429cb44,-1
10,.,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg75672,arg68721,arg75672_arg68721,rr,d53afd173c3f5093853af6b1ad4d38,1
11,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,Dihybrid cross ,a1,arg68721,arg76120,arg68721_arg76120,rr,5dc04a99eca53051842d9e165a8534,-1
12,Heterozygote cross.,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg77552,arg68721,arg77552_arg68721,rr,1d08833265a8a6c01a1f6d9f71063a,1
13,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,heterozygous dihybrid cross gives the 9:3:3:1 ratio,a1,arg68721,arg77564,arg68721_arg77564,rr,3340368556c1c3339d531fe5657a11,-1
14,.,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg77859,arg68721,arg77859_arg68721,rr,3e179fba728baed8c01e997ac36184,1
15,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,F1,a1,arg68721,arg78256,arg68721_arg78256,rr,065848127b9d0b9b206a17ee151b73,-1
16,A classic dihybrid cross,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg78298,arg68721,arg78298_arg68721,wr,3c51f38cd05bf8261f066dceafb818,1
17,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,d,a1,arg68721,arg78690,arg68721_arg78690,rr,8ea6d35ef00f2b5729baa089d59334,-1
18,"to get a 9:3:3:1, you would need to have both parents to be heterozygous for all genes so D. *since we would get 2 ratios of 3:1*",SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg79091,arg68721,arg79091_arg68721,rr,fcf6db7ca0c22a5512281fbf85e807,1
19,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,.,a1,arg68721,arg80115,arg68721_arg80115,rr,52a0801ec0b18861cc6df508f1b10b,-1
20,Heterozygous dihybrid cross gives a 9:3:3:1 ratio,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg80920,arg68721,arg80920_arg68721,rr,0be5fbbd69280e7e6725be63847208,1
21,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,  ,a1,arg68721,arg81001,arg68721_arg81001,rr,c11828d46b53cbf827f3a1903a57ce,-1
22,heterozygous for both traits,SsYy * SsYy = 9/16 SY + 3/16 Sy + 3/16 sY + 1/16 sy,a2,arg82726,arg68721,arg82726_arg68721,rr,e24a676b9c1c6fb60ac2698aa4db99,1
