,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,Definition,this is the definition of heterozygosity,a2,arg127816,arg69986,arg127816_arg69986,rr,dd1b4189a8ac774a3a58a6ffd278d1,1
1,this is the definition of heterozygosity,gghhiijkkj,a1,arg69986,arg127970,arg69986_arg127970,rr,b2dc02b7b0620f746fd7977a3e3e63,-1
2,Because they are different,this is the definition of heterozygosity,a2,arg129503,arg69986,arg129503_arg69986,rr,268002bfc7fcb28d6bdc37f9256674,1
3,this is the definition of heterozygosity,because,a1,arg69986,arg131770,arg69986_arg131770,rr,e7a4172d989b21cb4c8cce7fe7fc74,-1
4,mmmmmmmmmmmm,this is the definition of heterozygosity,a2,arg133062,arg69986,arg133062_arg69986,rr,0a82d2f36cda00b9f5e97c580752ac,1
5,this is the definition of heterozygosity,Aa Bb,a1,arg69986,arg136165,arg69986_arg136165,rr,c0b0fe9e84013a644bb70cd23c69a6,-1
6,definition yes,this is the definition of heterozygosity,a2,arg136307,arg69986,arg136307_arg69986,rr,d709f71cb4f0a254ee0d56af55a832,1
7,this is the definition of heterozygosity,lkwmfa,a1,arg69986,arg136336,arg69986_arg136336,rr,d22b2724721ba0da929fb42ad2e456,-1
8,because,this is the definition of heterozygosity,a2,arg136512,arg69986,arg136512_arg69986,rr,e969de6f57d3ccca6cfb4d0560708d,1
9,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",this is just a straight up definition that must be known for  genetics class,a1,arg184891,arg184908,arg184891_arg184908,wr,e82ceaaef088030f0a84579bf4a62e,-1
10,This is a basic definition of heterozygous. The other terms have different meanings.,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg184933,arg184891,arg184933_arg184891,rr,2435b9cc294a9a0628a2a6e58d36cf,1
11,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",heterzygous implies the the individual has 2 different alleles for the same gene,a1,arg184891,arg185288,arg184891_arg185288,rr,c5147c1b67c49927d6b7ef44c8749e,-1
12,Heterozygous means the individual had two different versions of a gene,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg185736,arg184891,arg185736_arg184891,rr,deb461e87650bba258e39857684079,1
13,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",heterozygous means Aa or having two different alleles for a gene,a1,arg184891,arg185950,arg184891_arg185950,rr,a4efbb59c3f3cc914065e25300dae6,-1
